S_UNNR,N_LFDNR,S_VORSILBE,S_NAME,S_SPEZIFIKATION,S_KLASSE,S_KLASSIFIZIERUNGSCODE,S_VP_GRUPPE,S_KENN1,S_KENN2,S_KENN3,S_KENN4,SV_10,SV_11,S_BEGRENZTE_MENGEN,S_FREIGEST_MENGEN,S_ZUSAMMENPACKUNG1,S_ZUSAMMENPACKUNG2,S_TANK_CODE1,S_TANK_CODE2,S_TANKFAHRZEUG,S_BEFOERDERUNGSKATEGORIE,S_TUNNEL_CODE,S_GEFAHRNR,N_MULTIPLIKATOR,N_ERGAENZ_TECH,S_VERTRAEGL_GR,N_VERBOT,N_UNNR,N_SICHERUNG,S_MENGE_SICHERUNG_TANK,S_MENGE_SICHERUNG_LS,S_MENGE_SICHERUNG_VP,S_KENNZ_N
14,2,,"PATRONEN FÜR HANDFEUERWAFFEN, MANÖVER",,1.0,1.4S,,1.4,,,,,,5 kg,E0,MP23,MP24,,,,4,E,,0.0,0.0,S,1,14,0.0,,,,
14,3,,"PATRONEN FÜR WERKZEUGE, OHNE GESCHOSS",,1.0,1.4S,,1.4,,,,,,5 kg,E0,MP23,MP24,,,,4,E,,0.0,0.0,S,1,14,0.0,,,,
15,1,,"MUNITION, NEBEL","mit oder ohne Zerleger, Ausstoß- oder Treibladung",1.0,1.2G,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,G,1,15,1.0,a),a),0,
15,2,,"MUNITION, NEBEL","mit oder ohne Zerleger, Ausstoß- oder Treibladung, mit ätzenden Stoffen",1.0,1.2G,,1,8,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,G,1,15,1.0,a),a),0,
15,3,,"MUNITION, NEBEL","mit oder ohne Zerleger, Ausstoß- oder Treibladung, mit beim Einatmen giftigen Stoffen",1.0,1.2G,,1,6.1,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,G,1,15,1.0,a),a),0,
16,1,,"MUNITION, NEBEL","mit oder ohne Zerleger, Ausstoß- oder Treibladung",1.0,1.3G,,1,,,,,,0,E0,MP23,,,,,1,C5000D,,50.0,0.0,G,1,16,0.0,,,,
16,2,,"MUNITION, NEBEL","mit oder ohne Zerleger, Ausstoß- oder Treibladung, mit ätzenden Stoffen",1.0,1.3G,,1,8,,,,,0,E0,MP23,,,,,1,C5000D,,50.0,0.0,G,1,16,0.0,,,,
16,3,,"MUNITION, NEBEL","mit oder ohne Zerleger, Ausstoß- oder Treibladung, mit beim Einatmen giftigen Stoffen",1.0,1.3G,,1,6.1,,,,,0,E0,MP23,,,,,1,C5000D,,50.0,0.0,G,1,16,0.0,,,,
18,1,,"MUNITION, AUGENREIZSTOFF","mit Zerleger, Ausstoß- oder Treibladung",1.0,1.2G,,1,6.1,8,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,G,1,18,1.0,a),a),0,
19,1,,"MUNITION, AUGENREIZSTOFF","mit Zerleger, Ausstoß- oder Treibladung",1.0,1.3G,,1,6.1,8,,,,0,E0,MP23,,,,,1,C5000D,,50.0,0.0,G,1,19,0.0,,,,
20,1,,"MUNITION, GIFTIG","mit Zerleger, Ausstoß- oder Treibladung",1.0,1.2K,,,,,,,,,,,,,,,,,,,,,0,20,,,,,
21,1,,"MUNITION, GIFTIG","mit Zerleger, Ausstoß- oder Treibladung",1.0,1.3K,,,,,,,,,,,,,,,,,,,,,0,21,,,,,
27,1,,SCHWARZPULVER,gekörnt oder in Mehlform,1.0,1.1D,,1,,,,,,0,E0,MP20,MP24,,,,1,B1000C,,50.0,0.0,D,1,27,1.0,a),a),0,
27,2,,,,1.0,1.1D,,1,,,,,,0,E0,MP20,MP24,,,,1,B1000C,,50.0,0.0,D,1,27,1.0,a),a),0,
28,1,,"SCHWARZPULVER, GEPRESST",,1.0,1.1D,,1,,,,,,0,E0,MP20,MP24,,,,1,B1000C,,50.0,0.0,D,1,28,1.0,a),a),0,
28,2,,"SCHWARZPULVER, als PELLETS",,1.0,1.1D,,1,,,,,,0,E0,MP20,MP24,,,,1,B1000C,,50.0,0.0,D,1,28,1.0,a),a),0,
28,3,,,,1.0,1.1D,,1,,,,,,0,E0,MP20,MP24,,,,1,B1000C,,50.0,0.0,D,1,28,1.0,a),a),0,
28,4,,,,1.0,1.1D,,1,,,,,,0,E0,MP20,MP24,,,,1,B1000C,,50.0,0.0,D,1,28,1.0,a),a),0,
29,1,,"SPRENGKAPSELN, NICHT ELEKTRISCH",,1.0,1.1B,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,B,1,29,1.0,a),a),0,
30,1,,"SPRENGKAPSELN, ELEKTRISCH",,1.0,1.1B,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,B,1,30,1.0,a),a),0,
33,1,,BOMBEN,mit Sprengladung,1.0,1.1F,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,F,1,33,1.0,a),a),0,
34,1,,BOMBEN,mit Sprengladung,1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,34,1.0,a),a),0,
35,1,,BOMBEN,mit Sprengladung,1.0,1.2D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,35,1.0,a),a),0,
37,1,,"BOMBEN, BLITZLICHT",,1.0,1.1F,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,F,1,37,1.0,a),a),0,
38,1,,"BOMBEN, BLITZLICHT",,1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,38,1.0,a),a),0,
39,1,,"BOMBEN, BLITZLICHT",,1.0,1.2G,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,G,1,39,1.0,a),a),0,
42,1,,ZÜNDVERSTÄRKER,ohne Detonator,1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,42,1.0,a),a),0,
43,1,,ZERLEGER,mit Explosivstoff,1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,43,1.0,a),a),0,
44,1,,ANZÜNDHÜTCHEN,,1.0,1.4S,,1.4,,,,,,0,E0,MP23,MP24,,,,4,E,,0.0,0.0,S,1,44,0.0,,,,
48,1,,SPRENGKÖRPER,,1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,48,1.0,a),a),0,
49,1,,"PATRONEN, BLITZLICHT",,1.0,1.1G,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,G,1,49,1.0,a),a),0,
50,1,,"PATRONEN, BLITZLICHT",,1.0,1.3G,,1,,,,,,0,E0,MP23,,,,,1,C5000D,,50.0,0.0,G,1,50,0.0,,,,
54,1,,"PATRONEN, SIGNAL",,1.0,1.3G,,1,,,,,,0,E0,MP23,MP24,,,,1,C5000D,,50.0,0.0,G,1,54,0.0,,,,
55,1,,"TREIBLADUNGSHÜLSEN, LEER, MIT TREIBLADUNGSANZÜNDER",,1.0,1.4S,,1.4,,,,,,5 kg,E0,MP23,,,,,4,E,,0.0,0.0,S,1,55,0.0,,,,
56,1,,WASSERBOMBEN,,1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,56,1.0,a),a),0,
59,1,,HOHLLADUNGEN,ohne Zündmittel,1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,59,1.0,a),a),0,
60,1,,FÜLLSPRENGKÖRPER,,1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,60,1.0,a),a),0,
65,1,,SPRENGSCHNUR,biegsam,1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,65,1.0,a),a),0,
66,1,,ANZÜNDLITZE,,1.0,1.4G,,1.4,,,,,,0,E0,MP23,,,,,2,E,,3.0,0.0,G,1,66,0.0,,,,
70,1,,"SCHNEIDVORRICHTUNGEN, KABEL, MIT EXPLOSIVSTOFF",,1.0,1.4S,,1.4,,,,,,0,E0,MP23,,,,,4,E,,0.0,0.0,S,1,70,0.0,,,,
72,1,,"CYCLOTRIMETHYLENTRINITRAMIN, ANGEFEUCHTET",mit mindestens 15 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,72,1.0,a),a),0,
72,2,,"CYCLONIT, ANGEFEUCHTET",mit mindestens 15 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,72,1.0,a),a),0,
72,3,,"HEXOGEN, ANGEFEUCHTET",mit mindestens 15 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,72,1.0,a),a),0,
72,4,,"RDX, ANGEFEUCHTET",mit mindestens 15 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,72,1.0,a),a),0,
73,1,,DETONATOREN FÜR MUNITION,,1.0,1.1B,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,B,1,73,1.0,a),a),0,
74,1,,"DIAZODINITROPHENOL, ANGEFEUCHTET",mit mindestens 40 Masse-% Wasser oder einer Alkohol/Wasser-Mischung,1.0,1.1A,,1,,,,,,0,E0,MP20,,,,,0,B,,,0.0,A,1,74,1.0,a),a),0,
75,1,,"DIETHYLENGLYCOLDINITRAT, DESENSIBILISIERT","mit mindestens 25 Masse-% nicht flüchtigem, wasserunlöslichem Phlegmatisierungsmittel",1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,75,1.0,a),a),0,-
76,1,,DINITROPHENOL,trocken,1.0,1.1D,,1,6.1,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,76,1.0,a),a),0,+
76,2,,DINITROPHENOL,angefeuchtet mit weniger als 15 Masse-% Wasser,1.0,1.1D,,1,6.1,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,76,1.0,a),a),0,+
77,1,,DINITROPHENOLATE,"der Alkalimetalle, trocken",1.0,1.3C,,1,6.1,,,,,0,E0,MP20,,,,,1,C5000D,,50.0,0.0,C,1,77,1.0,a),a),0,+
77,2,,DINITROPHENOLATE,"der Alkalimetalle, angefeuchtet mit weniger als 15 Masse-% Wasser",1.0,1.3C,,1,6.1,,,,,0,E0,MP20,,,,,1,C5000D,,50.0,0.0,C,1,77,1.0,a),a),0,+
78,1,,DINITRORESORCINOL,trocken,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,78,1.0,a),a),0,
78,2,,DINITRORESORCINOL,angefeuchtet mit weniger als 15 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,78,1.0,a),a),0,
79,1,,HEXANITRODIPHENYLAMIN,,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,79,1.0,a),a),0,+
79,2,,DIPIKRYLAMIN,,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,79,1.0,a),a),0,+
79,3,,HEXYL,,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,79,1.0,a),a),0,+
81,1,,"SPRENGSTOFF, TYP A",,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,20.0,1.0,D,1,81,1.0,a),a),0,
82,1,,"SPRENGSTOFF, TYP B",,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,20.0,1.0,D,1,82,1.0,a),a),0,
83,1,,"SPRENGSTOFF, TYP C",,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,1.0,D,1,83,1.0,a),a),0,
84,1,,"SPRENGSTOFF, TYP D",,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,20.0,1.0,D,1,84,1.0,a),a),0,
92,1,,"LEUCHTKÖRPER, BODEN",,1.0,1.3G,,1,,,,,,0,E0,MP23,,,,,1,C5000D,,50.0,0.0,G,1,92,0.0,,,,
93,1,,"LEUCHTKÖRPER, LUFTFAHRZEUG",,1.0,1.3G,,1,,,,,,0,E0,MP23,,,,,1,C5000D,,50.0,0.0,G,1,93,0.0,,,,
94,1,,BLITZLICHTPULVER,,1.0,1.1G,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,G,1,94,1.0,a),a),0,
99,1,,LOCKERUNGSSPRENGGERÄTE MIT EXPLOSIVSTOFF,"für Erdölbohrungen, ohne Zündmittel",1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,99,1.0,a),a),0,
101,1,,"STOPPINEN, NICHT SPRENGKRÄFTIG",,1.0,1.3G,,1,,,,,,0,E0,MP23,,,,,1,C5000D,,50.0,0.0,G,1,101,0.0,,,,
102,1,,SPRENGSCHNUR,mit Metallmantel,1.0,1.2D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,102,1.0,a),a),0,
102,2,,,,1.0,1.2D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,102,1.0,a),a),0,
103,1,,ANZÜNDSCHNUR,"rohrförmig, mit Metallmantel",1.0,1.4G,,1.4,,,,,,0,E0,MP23,,,,,2,E,,3.0,0.0,G,1,103,0.0,,,,
104,1,,SPRENGSCHNUR MIT GERINGER WIRKUNG,mit Metallmantel,1.0,1.4D,,1.4,,,,,,0,E0,MP21,,,,,2,E,,3.0,0.0,D,1,104,1.0,a),a),0,
104,2,,,,1.0,1.4D,,1.4,,,,,,0,E0,MP21,,,,,2,E,,3.0,0.0,D,1,104,1.0,a),a),0,
105,1,,ANZÜNDSCHNUR,,1.0,1.4S,,1.4,,,,,,0,E0,MP23,,,,,4,E,,0.0,0.0,S,1,105,0.0,,,,
105,2,,SICHERHEITSZÜNDSCHNUR,,1.0,1.4S,,1.4,,,,,,0,E0,MP23,,,,,4,E,,0.0,0.0,S,1,105,0.0,,,,
106,1,,"ZÜNDER, SPRENGKRÄFTIG",,1.0,1.1B,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,B,1,106,1.0,a),a),0,
107,1,,"ZÜNDER, SPRENGKRÄFTIG",,1.0,1.2B,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,B,1,107,1.0,a),a),0,
110,1,,"GRANATEN, ÜBUNG",Hand oder Gewehr,1.0,1.4S,,1.4,,,,,,0,E0,MP23,,,,,4,E,,0.0,0.0,S,1,110,0.0,,,,
113,1,,"GUANYLNITROSAMINOGUANYLIDENHYDRAZIN, ANGEFEUCHTET",mit mindestens 30 Masse-% Wasser,1.0,1.1A,,1,,,,,,0,E0,MP20,,,,,0,B,,,0.0,A,1,113,1.0,a),a),0,
114,1,,"GUANYLNITROSAMINOGUANYLTETRAZEN, ANGEFEUCHTET",mit mindestens 30 Masse-% Wasser oder einer Alkohol/Wasser-Mischung,1.0,1.1A,,1,,,,,,0,E0,MP20,,,,,0,B,,,0.0,A,1,114,1.0,a),a),0,
114,2,,"TETRACEN, ANGEFEUCHTET",mit mindestens 30 Masse-% Wasser oder einer Alkohol/Wasser-Mischung,1.0,1.1A,,1,,,,,,0,E0,MP20,,,,,0,B,,,0.0,A,1,114,1.0,a),a),0,
118,1,,HEXOLIT,trocken,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,118,1.0,a),a),0,
118,2,,HEXOTOL,trocken,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,118,1.0,a),a),0,
118,3,,HEXOLIT,angefeuchtet mit weniger als 15 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,118,1.0,a),a),0,
118,4,,HEXOTOL,angefeuchtet mit weniger als 15 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,118,1.0,a),a),0,
121,1,,ANZÜNDER,,1.0,1.1G,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,G,1,121,1.0,a),a),0,
121,2,,,,1.0,1.1G,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,G,1,121,1.0,a),a),0,
124,1,,"PERFORATIONSHOHLLADUNGSTRÄGER, GELADEN","für Erdölbohrlöcher, ohne Zündmittel",1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,124,1.0,a),a),0,
129,1,,"BLEIAZID, ANGEFEUCHTET",mit mindestens 20 Masse-% Wasser oder einer Alkohol/Wasser-Mischung,1.0,1.1A,,1,,,,,,0,E0,MP20,,,,,0,B,,,0.0,A,1,129,1.0,a),a),0,+
130,1,,"BLEISTYPHNAT, ANGEFEUCHTET",mit mindestens 20 Masse-% Wasser oder einer Alkohol/Wasser-Mischung,1.0,1.1A,,1,,,,,,0,E0,MP20,,,,,0,B,,,0.0,A,1,130,1.0,a),a),0,+
130,2,,"BLEITRINITRORESORCINAT, ANGEFEUCHTET",mit mindestens 20 Masse-% Wasser oder einer Alkohol/Wasser-Mischung,1.0,1.1A,,1,,,,,,0,E0,MP20,,,,,0,B,,,0.0,A,1,130,1.0,a),a),0,+
131,1,,"ANZÜNDER, ANZÜNDSCHNUR",,1.0,1.4S,,1.4,,,,,,0,E0,MP23,,,,,4,E,,0.0,0.0,S,1,131,0.0,,,,
132,1,,"DEFLAGRIERENDE METALLSALZE AROMATISCHER NITROVERBINDUNGEN, N.A.G.",,1.0,1.3C,,1,,,,,,0,E0,MP2,,,,,1,C5000D,,50.0,1.0,C,1,132,1.0,a),a),0,
133,1,,"MANNITOLHEXANITRAT, ANGEFEUCHTET",mit mindestens 40 Masse-% Wasser oder einer Alkohol/Wasser-Mischung,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,133,1.0,a),a),0,-
133,2,,"NITROMANNITOL, ANGEFEUCHTET",mit mindestens 40 Masse-% Wasser oder einer Alkohol/Wasser-Mischung,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,133,1.0,a),a),0,-
135,1,,"QUECKSILBERFULMINAT, ANGEFEUCHTET",mit mindestens 20 Masse-% Wasser oder einer Alkohol/Wasser-Mischung,1.0,1.1A,,1,,,,,,0,E0,MP20,,,,,0,B,,,0.0,A,1,135,1.0,a),a),0,+
136,1,,MINEN,mit Sprengladung,1.0,1.1F,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,F,1,136,1.0,a),a),0,
137,1,,MINEN,mit Sprengladung,1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,137,1.0,a),a),0,
138,1,,MINEN,mit Sprengladung,1.0,1.2D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,138,1.0,a),a),0,
143,1,,"NITROGLYCERIN, DESENSIBILISIERT","mit mindestens 40 Masse-% nicht flüchtigem, wasserunlöslichem Phlegmatisierungsmittel",1.0,1.1D,,1,(6.1),,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,143,1.0,a),a),0,E
144,1,,"NITROGLYCERIN, LÖSUNG IN ALKOHOL","mit mehr als 1 %, aber nicht mehr als 10 % Nitroglycerin",1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,144,1.0,a),a),0,E
146,1,,NITROSTÄRKE,trocken,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,146,1.0,a),a),0,
146,2,,NITROSTÄRKE,angefeuchtet mit weniger als 20 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,146,1.0,a),a),0,
147,1,,NITROHARNSTOFF,,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,147,1.0,a),a),0,
150,1,,"PENTAERYTHRITTETRANITRAT, ANGEFEUCHTET",mit mindestens 25 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,150,1.0,a),a),0,-
150,2,,"PENTAERYTHRITOLTETRANITRAT, ANGEFEUCHTET",mit mindestens 25 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,150,1.0,a),a),0,-
150,3,,"PETN, ANGEFEUCHTET",mit mindestens 25 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,150,1.0,a),a),0,-
150,4,,"PENTAERYTHRITTETRANITRAT, DESENSIBILISIERT",mit mindestens 15 Masse-% Phlegmatisierungsmittel,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,150,1.0,a),a),0,-
150,5,,"PENTAERYTHRITOLTETRANITRAT, DESENSIBILISIERT",mit mindestens 15 Masse-% Phlegmatisierungsmittel,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,150,1.0,a),a),0,-
150,6,,"PETN, DESENSIBILISIERT",mit mindestens 15 Masse-% Phlegmatisierungsmittel,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,150,1.0,a),a),0,-
150,7,,,,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,150,1.0,a),a),0,-
150,8,,,,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,150,1.0,a),a),0,-
151,1,,PENTOLIT,trocken,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,151,1.0,a),a),0,
151,2,,PENTOLIT,angefeuchtet mit weniger als 15 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,151,1.0,a),a),0,
153,1,,TRINITROANILIN,,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,153,1.0,a),a),0,
153,2,,PIKRAMID,,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,153,1.0,a),a),0,
154,1,,TRINITROPHENOL,trocken,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,154,1.0,a),a),0,-
154,2,,PIKRINSÄURE,trocken,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,154,1.0,a),a),0,-
154,3,,TRINITROPHENOL,angefeuchtet mit weniger als 30 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,154,1.0,a),a),0,-
154,4,,PIKRINSÄURE,angefeuchtet mit weniger als 30 Masse-% Wasser,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,154,1.0,a),a),0,-
155,1,,TRINITROCHLORBENZEN,,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,155,1.0,a),a),0,+
155,2,,PIKRYLCHLORID,,1.0,1.1D,,1,,,,,,0,E0,MP20,,,,,1,B1000C,,50.0,0.0,D,1,155,1.0,a),a),0,+
159,1,,"PULVERROHMASSE, ANGEFEUCHTET",mit mindestens 25 Masse-% Wasser,1.0,1.3C,,1,,,,,,0,E0,MP20,,,,,1,C5000D,,50.0,0.0,C,1,159,1.0,a),a),0,
159,2,,,,1.0,1.3C,,1,,,,,,0,E0,MP20,,,,,1,C5000D,,50.0,0.0,C,1,159,1.0,a),a),0,
160,1,,TREIBLADUNGSPULVER,,1.0,1.1C,,1,,,,,,0,E0,MP20,MP24,,,,1,B1000C,,50.0,0.0,C,1,160,1.0,a),a),0,
161,1,,TREIBLADUNGSPULVER,,1.0,1.3C,,1,,,,,,0,E0,MP20,MP24,,,,1,C5000D,,50.0,0.0,C,1,161,1.0,a),a),0,
167,1,,GESCHOSSE,mit Sprengladung,1.0,1.1F,,1,,,,,,0,E0,MP23,,,,,1,B1000C,,50.0,0.0,F,1,167,1.0,a),a),0,
168,1,,GESCHOSSE,mit Sprengladung,1.0,1.1D,,1,,,,,,0,E0,MP21,,,,,1,B1000C,,50.0,0.0,D,1,168,1.0,a),a),0,
